170;ABDIRAHAMAN ALY;20 RUE ZAMANTALE;97600;Satisfaisant;-12.774578,45.219814;3588;46
171;ABDULAHI  MIRA;30 Résidence du Trégor;35131;Satisfaisant;48.034989,-1.704489;1263;100
172;ABE;26 rue Vaubecour 69002 Lyon;69002;Satisfaisant;45.753961,4.826088;3516;46
173;ABE;26 rue Vaubecour 69002 Lyon;69002;Satisfaisant;45.753961,4.826088;3516;100
174;ABEL;77 COURS VITTON;69006;Satisfaisant;45.77021,4.85894;3522;100
175;ABEL;77 COURS VITTON;69006;Très satisfaisant;45.77021,4.85894;3522;46
176;ABEL;56 AVENUE DE SAINT OUEN;75018;Très satisfaisant;48.89085,2.326889;4421;98
177;ABIRA ALIMENTATION;79 RUE DE STRASBOURG;93200;Satisfaisant;48.936413,2.370147;5247;46
178;ABISSET XAVIER;LES EDITS;42840;A améliorer;46.04026,4.25499;3919;71
179;ABK;116 RUE JEAN JAURES;92270;Satisfaisant;48.912473,2.261834;685;12
180;ABM - MAISON SAINTE GERMAINE;56 RUE DESNOUETTES;75015;Satisfaisant;48.836008,2.287964;4418;99
181;ABNS;9 CHEMIN DE PONSON;7200;Très satisfaisant;44.616413,4.40147;278;98
182;ABOUDOU ABDALLAH;RUE DU COLLEGE M'TSANGADOUA;97630;Satisfaisant;-12.714463,45.051617;16;98
183;ABRARD JEAN CHARLES;MARCHE COUVERT;17110;Satisfaisant;45.603281,-0.997594;5395;66
184;ABRI;92 RUE DU FAUBOURG POISSONNIERE;75010;Satisfaisant;48.877873,2.349236;4413;98
185;ABSOLU CAFE (LEAN WILSON);88 RUE DU PDT WILSON;92300;Satisfaisant;48.89505,2.287823;3322;98
186;AC MARIGNAN;29 RUE DE MARIGNAN;75008;Très satisfaisant;48.869657,2.306452;4431;98
187;AC RESTAURATION SAINT LAZARE;101 RUE SAINT LAZARE;75009;Très satisfaisant;48.875613,2.327928;4433;98
188;ACA;48 BD DE CLICHY;75018;Satisfaisant;48.883121,2.335594;4421;98
189;ACADEMIE DE LA BIERE;88 BIS BD DE PORT ROYAL;75005;A améliorer;48.839183,2.339248;4428;98
190;ACAI AND YOU - ST AMBROISE;28 RUE SAINT AMBROISE;75011;Très satisfaisant;48.862834,2.37899;4414;98
191;ACCIL;113 RUE DE L EPEULE;59100;Satisfaisant;50.689292,3.160281;5006;98
192;ACCUEIL DE JOUR DE BEAUVAIS;RUE SANS TERRE;60000;Très satisfaisant;49.426258,2.118779;522;99
193;ACCUEIL DE JOUR DU BERGERACOIS;3, rue dela Maladrerie;24100;Satisfaisant;44.856714,0.493883;577;1
194;ACCUEIL MONTAURIOL;135 avenue de cos;82000;Satisfaisant;44.028791,1.358823;3934;99
195;ACCUEIL PERISCOLAIRE ARC EN CIEL;39 RUE DE LA LIBERATION;67260;Satisfaisant;48.972013,7.044373;2638;99
196;ACCUEIL PERISCOLAIRE ET CANTINE SCOLAIRE;10 CONTOUR DE L'EGLISE;59470;Satisfaisant;50.838842,2.30605;6797;99
